ID,Tipo,SKU,"GTIN, UPC, EAN, or ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Fecha en que empieza el precio rebajado,Fecha en que termina el precio de oferta,Estado del impuesto,Clase de impuesto,¿En stock?,Stock,Cantidad de bajo stock,¿Permitir reservas de productos agotados?,Vendido Individualmente?,Peso (kg),Longitud (cm),Ancho (cm),Altura (cm),¿Permitir reseñas de clientes?,Notas de la compra,Precio de oferta,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Marcas,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo predeterminado 1
,variation,,,ES COLONIA CÍTRICA 5008 - 10 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,167,,,,,,4,,Presentaciones,10 Litros,,0,
,variation,,,ES COLONIA CÍTRICA 5008 - 20 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,167,,,,,,5,,Presentaciones,20 Litros,,0,
,variable,170,,ES CONF 6010,1,0,visible,Las imágenes son ilustrativas,"PERFUME TEXTIL,PARA SUAVIZANTE,PERFUME DE AMBIENTE,",,,taxable,,1,,,0,0,,,,,1,,,,FANTASÍA,FANTASÍA,,http://localhost:8069/wp-content/uploads/2026/03/ES-CONF-6010.webp,,,,,,,,,0,,Presentaciones,"1 Litro, 2 Litros, 5 Litros, 10 Litros, 20 Litros",1,0,1 Litro
,variation,,,ES CONF 6010 - 1 Litro,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,170,,,,,,1,,Presentaciones,1 Litro,,0,
,variation,,,ES CONF 6010 - 2 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,170,,,,,,2,,Presentaciones,2 Litros,,0,
,variation,,,ES CONF 6010 - 5 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,170,,,,,,3,,Presentaciones,5 Litros,,0,
,variation,,,ES CONF 6010 - 10 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,170,,,,,,4,,Presentaciones,10 Litros,,0,
,variation,,,ES CONF 6010 - 20 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,170,,,,,,5,,Presentaciones,20 Litros,,0,
,variable,172,,ES CONI II,1,0,visible,Las imágenes son ilustrativas,"PERFUME TEXTIL,PERFUME DE AMBIENTE,",,,taxable,,1,,,0,0,,,,,1,,,,FANTASÍA,FANTASÍA,,http://localhost:8069/wp-content/uploads/2026/03/ES-CONI-II.webp,,,,,,,,,0,,Presentaciones,"1 Litro, 2 Litros, 5 Litros, 10 Litros, 20 Litros",1,0,1 Litro
,variation,,,ES CONI II - 1 Litro,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,172,,,,,,1,,Presentaciones,1 Litro,,0,
,variation,,,ES CONI II - 2 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,172,,,,,,2,,Presentaciones,2 Litros,,0,
,variation,,,ES CONI II - 5 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,172,,,,,,3,,Presentaciones,5 Litros,,0,
,variation,,,ES CONI II - 10 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,172,,,,,,4,,Presentaciones,10 Litros,,0,
,variation,,,ES CONI II - 20 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,172,,,,,,5,,Presentaciones,20 Litros,,0,
,variable,676,,ES CR,1,0,visible,Las imágenes son ilustrativas,"PERFUME TEXTIL,PERFUME DE AMBIENTE,",,,taxable,,1,,,0,0,,,,,1,,,,FANTASÍA,FANTASÍA,,http://localhost:8069/wp-content/uploads/2026/03/ES-CR.webp,,,,,,,,,0,,Presentaciones,"1 Litro, 2 Litros, 5 Litros, 10 Litros, 20 Litros",1,0,1 Litro
,variation,,,ES CR - 1 Litro,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,676,,,,,,1,,Presentaciones,1 Litro,,0,
,variation,,,ES CR - 2 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,676,,,,,,2,,Presentaciones,2 Litros,,0,
,variation,,,ES CR - 5 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,676,,,,,,3,,Presentaciones,5 Litros,,0,
,variation,,,ES CR - 10 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,676,,,,,,4,,Presentaciones,10 Litros,,0,
,variation,,,ES CR - 20 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,676,,,,,,5,,Presentaciones,20 Litros,,0,
,variable,712,,ES DAMASCO,1,0,visible,Las imágenes son ilustrativas,"DESODORANTE DE PISO,",,,taxable,,1,,,0,0,,,,,1,,,,FRUTAL,FRUTAL,,http://localhost:8069/wp-content/uploads/2026/03/ES-DAMASCO.webp,,,,,,,,,0,,Presentaciones,"1 Litro, 2 Litros, 5 Litros, 10 Litros, 20 Litros",1,0,1 Litro
,variation,,,ES DAMASCO - 1 Litro,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,712,,,,,,1,,Presentaciones,1 Litro,,0,
,variation,,,ES DAMASCO - 2 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,712,,,,,,2,,Presentaciones,2 Litros,,0,
,variation,,,ES DAMASCO - 5 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,712,,,,,,3,,Presentaciones,5 Litros,,0,
,variation,,,ES DAMASCO - 10 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,712,,,,,,4,,Presentaciones,10 Litros,,0,
,variation,,,ES DAMASCO - 20 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,712,,,,,,5,,Presentaciones,20 Litros,,0,
,variable,718,,ES DAU,1,0,visible,Las imágenes son ilustrativas,"PARA SUAVIZANTE,PERFUME TEXTIL,",,,taxable,,1,,,0,0,,,,,1,,,,FANTASÍA,FANTASÍA,,http://localhost:8069/wp-content/uploads/2026/03/ES-DAU.webp,,,,,,,,,0,,Presentaciones,"1 Litro, 2 Litros, 5 Litros, 10 Litros, 20 Litros",1,0,1 Litro
,variation,,,ES DAU - 1 Litro,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,718,,,,,,1,,Presentaciones,1 Litro,,0,
